date,title,translated_title,file,link
30.01.2022,Trabzon Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Trabzon Collective Opening Ceremony,PresSpeech29.txt,https://www.tccb.gov.tr/konusmalar/353/135527/trabzon-toplu-acilis-toreni-nde-yaptiklari-konusma
29.01.2022,Giresun’da Yapımı Tamamlanan Projelerin Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Collective Opening Ceremony of the Completed Projects in Giresun,PresSpeech30.txt,https://www.tccb.gov.tr/konusmalar/353/135526/giresun-da-yapimi-tamamlanan-projelerin-toplu-acilis-toreni-nde-yaptiklari-konusma
29.01.2022,"Dereli-Doğankent Afet Konutları, İşyerleri ve Altyapı Yatırımları Açılış Töreni’nde Yaptıkları Konuşma","Speech at the Opening Ceremony of Dereli-Doğankent Disaster Housing, Workplaces and Infrastructure Investments",PresSpeech31.txt,https://www.tccb.gov.tr/konusmalar/353/135523/dereli-dogankent-afet-konutlari-isyerleri-ve-altyapi-yatirimlari-acilis-toreni-nde-yaptiklari-konusma
27.01.2022,Yunus Emre Yılı Görsel ve İşitsel Medyada Doğru Türkçe Kullanımı Ödül Töreni’nde Yaptıkları Konuşma,Speech at the Yunus Emre Year Correct Use of Turkish in Audio-Visual Media Award Ceremony,PresSpeech32.txt,https://www.tccb.gov.tr/konusmalar/353/135484/yunus-emre-yili-gorsel-ve-isitsel-medyada-dogru-turkce-kullanimi-odul-toreni-nde-yaptiklari-konusma
21.01.2022,MÜSİAD Başkanı Sayın Mahmut Asmalı ve Yönetim Kurulu Üyeleri’ni Kabulünde Yaptıkları Konuşma,The Speech of MÜSİAD President Mahmut Asmalı and the Members of the Board of Directors at the Reception,PresSpeech33.txt,https://www.tccb.gov.tr/konusmalar/353/135445/musiad-baskani-sayin-mahmut-asmali-ve-yonetim-kurulu-uyeleri-ni-kabulunde-yaptiklari-konusma
19.01.2022,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech34.txt,https://www.tccb.gov.tr/konusmalar/353/135419/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
19.01.2022,Muhtarlar Toplantısı’nda Yaptıkları Konuşma,Speech at the Mukhtars Meeting,PresSpeech35.txt,https://www.tccb.gov.tr/konusmalar/353/135418/muhtarlar-toplantisi-nda-yaptiklari-konusma
17.01.2022,Ethem Bey Camii Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of Ethem Bey Mosque,PresSpeech36.txt,https://www.tccb.gov.tr/konusmalar/353/134396/ethem-bey-camii-acilis-toreni-nde-yaptiklari-konusma
17.01.2022,Arnavutluk Meclisi'nde Yaptıkları Konuşma,Speech in the Albanian Parliament,PresSpeech37.txt,https://www.tccb.gov.tr/konusmalar/353/134392/arnavutluk-meclisi-nde-yaptiklari-konusma
17.01.2022,Arnavutluk’un Laç Şehrinde Depremzedeler İçin İnşa Edilen Konutlarım Teslim Töreni’nde Yaptıkları Konuşma,"Their Speech at the Delivery Ceremony of My Houses Built for Earthquake Victims in Laç, Albania",PresSpeech38.txt,https://www.tccb.gov.tr/konusmalar/353/134390/arnavutluk-un-lac-sehrinde-depremzedeler-icin-insa-edilen-konutlarim-teslim-toreni-nde-yaptiklari-konusma
15.01.2022,Aydın Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Aydın Collective Opening Ceremony,PresSpeech39.txt,https://www.tccb.gov.tr/konusmalar/353/134352/aydin-toplu-acilis-toreni-nde-yaptiklari-konusma
15.01.2022,Batı KİPAŞ Kâğıt Fabrikası Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of Batı KİPAŞ Paper Factory,PresSpeech40.txt,https://www.tccb.gov.tr/konusmalar/353/134351/bati-kipas-k-git-fabrikasi-acilis-toreni-nde-yaptiklari-konusma
15.01.2022,Darbeler ve Demokrasi Söyleşinde Yaptıkları Konuşma,Their Speech at the Coups and Democracy Talk,PresSpeech41.txt,https://www.tccb.gov.tr/konusmalar/353/134389/darbeler-ve-demokrasi-soylesinde-yaptiklari-konusma
14.01.2022,Test ve Eğitim Gemisi TCG Ufuk’un Hizmete Giriş Töreni’nde Yaptıkları Konuşma,Speech by Test and Training Ship TCG Ufuk at the Commissioning Ceremony,PresSpeech42.txt,https://www.tccb.gov.tr/konusmalar/353/134345/test-ve-egitim-gemisi-tcg-ufuk-un-hizmete-giris-toreni-nde-yaptiklari-konusma
13.01.2022,AB Üyesi Ülkelerin Ankara Büyükelçileri ile Gerçekleştirilen Toplantıda Yaptıkları Konuşma,Speech of the EU Member States at the Meeting Held with the Ambassadors of Ankara,PresSpeech43.txt,https://www.tccb.gov.tr/konusmalar/353/134344/ab-uyesi-ulkelerin-ankara-buyukelcileri-ile-gerceklestirilen-toplantida-yaptiklari-konusma
11.01.2022,Yaşayan İnsan Hazineleri Geleceğe Aktarılan Mirasın Temsilcileri Ödül Töreni’nde Yaptıkları Konuşma,Representatives of Living Human Treasures and Heritage Transmitted to the Future Speech at the Award Ceremony,PresSpeech44.txt,https://www.tccb.gov.tr/konusmalar/353/134292/yasayan-insan-hazineleri-gelecege-aktarilan-mirasin-temsilcileri-odul-toreni-nde-yaptiklari-konusma
10.01.2022,Organize Sanayi Bölgeleri Mesleki Eğitim Merkezleri Açılış Programı’nda Yaptıkları Konuşma,Speech at the Opening Program of Organized Industrial Zones Vocational Training Centers,PresSpeech45.txt,https://www.tccb.gov.tr/konusmalar/353/134266/organize-sanayi-bolgeleri-mesleki-egitim-merkezleri-acilis-programi-nda-yaptiklari-konusma
08.01.2022,Karaman Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Karaman Collective Opening Ceremony,PresSpeech46.txt,https://www.tccb.gov.tr/konusmalar/353/134253/karaman-toplu-acilis-toreni-nde-yaptiklari-konusma
08.01.2022,Konya’da Halka Hitapları,Public Addresses in Konya,PresSpeech47.txt,https://www.tccb.gov.tr/konusmalar/353/134251/konya-da-halka-hitaplari
07.01.2022,2. Yeditepe Bienali’nde Yaptıkları Konuşma,Speech at the 2nd Yeditepe Biennial,PresSpeech48.txt,https://www.tccb.gov.tr/konusmalar/353/134250/2-yeditepe-bienali-nde-yaptiklari-konusma
06.01.2022,Milli Teknolojiler ve Yeni Yatırımlar Toplu Açılış ve Tanıtım Töreni’nde Yaptıkları Konuşma,Speech at the National Technologies and New Investments Collective Opening and Promotion Ceremony,PresSpeech49.txt,https://www.tccb.gov.tr/konusmalar/353/134224/milli-teknolojiler-ve-yeni-yatirimlar-toplu-acilis-ve-tanitim-toreni-nde-yaptiklari-konusma
03.01.2022,2021 Yılı Dış Ticaret Rakamlarının Açıklanması Programı’nda Yaptıkları Konuşma,Speech at the Program for the Announcement of Foreign Trade Figures for 2021,PresSpeech50.txt,https://www.tccb.gov.tr/konusmalar/353/134192/2021-yili-dis-ticaret-rakamlarinin-aciklanmasi-programi-nda-yaptiklari-konusma
03.01.2022,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech51.txt,https://www.tccb.gov.tr/konusmalar/353/134202/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
31.12.2021,Vefatının 6. Yıl Dönümünde Hasan Karakaya’yı Anma Programı’nda Yaptıkları Konuşma,Speech Delivered at the Commemoration of Hasan Karakaya on the 6th Anniversary of His Death,PresSpeech52.txt,https://www.tccb.gov.tr/konusmalar/353/134181/vefatinin-6-yil-donumunde-hasan-karakaya-yi-anma-programi-nda-yaptiklari-konusma
31.12.2021,ASKON Genel Kurulu’nda Yaptıkları Konuşma,Speech at the ASKON General Assembly,PresSpeech53.txt,https://www.tccb.gov.tr/konusmalar/353/134180/askon-genel-kurulu-nda-yaptiklari-konusma
29.12.2021,Pirinkayalar Tüneli Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Pirinkayalar Tunnel Opening Ceremony,PresSpeech54.txt,https://www.tccb.gov.tr/konusmalar/353/134157/pirinkayalar-tuneli-acilis-toreni-nde-yaptiklari-konusma
28.12.2021,TÜBİTAK ve TÜBA Bilim Ödülleri Töreni’nde Yaptıkları Konuşma ,Speech at the TÜBİTAK and TÜBA Science Awards Ceremony,PresSpeech55.txt,https://www.tccb.gov.tr/konusmalar/353/134147/tubitak-ve-tuba-bilim-odulleri-toreni-nde-yaptiklari-konusma-
25.12.2021,Gaziantep’te İşçilerle Yemek Programı’nda Yaptıkları Konuşma,Speech with Workers in Gaziantep at the Meal Program,PresSpeech56.txt,https://www.tccb.gov.tr/konusmalar/353/134127/gaziantep-te-iscilerle-yemek-programi-nda-yaptiklari-konusma
25.12.2021,Gaziantep Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Gaziantep Collective Opening Ceremony,PresSpeech57.txt,https://www.tccb.gov.tr/konusmalar/353/134132/gaziantep-toplu-acilis-toreni-nde-yaptiklari-konusma
24.12.2021,Ekonomistlere Hitaben Yaptıkları Konuşma,Speech to Economists,PresSpeech58.txt,https://www.tccb.gov.tr/konusmalar/353/134102/ekonomistlere-hitaben-yaptiklari-konusma
21.12.2021,Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülleri Töreni’nde Yaptıkları Konuşma,Speech at the Presidential Culture and Art Grand Awards Ceremony,PresSpeech59.txt,https://www.tccb.gov.tr/konusmalar/353/134062/cumhurbaskanligi-kultur-ve-sanat-buyuk-odulleri-toreni-nde-yaptiklari-konusma
20.12.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech60.txt,https://www.tccb.gov.tr/konusmalar/353/134056/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
19.12.2021,2021 İlim Yayma Ödülleri Töreni’nde Yaptıkları Konuşma,Speech Delivered at the 2021 Dissemination of Knowledge Awards Ceremony,PresSpeech61.txt,https://www.tccb.gov.tr/konusmalar/353/134034/2021-ilim-yayma-odulleri-toreni-nde-yaptiklari-konusma
18.12.2021,Türkiye-Afrika Ortaklık Zirvesi Ortak Basın Toplantısında Yaptıkları Konuşma,Speech at the Joint Press Conference of the Turkey-Africa Partnership Summit,PresSpeech62.txt,https://www.tccb.gov.tr/konusmalar/353/134035/turkiye-afrika-ortaklik-zirvesi-ortak-basin-toplantisinda-yaptiklari-konusma
18.12.2021,III. Türkiye-Afrika Ortaklık Zirvesi Açılış Oturumu’nda Yaptıkları Konuşma,III. Speech at the Opening Session of the Turkey-Africa Partnership Summit,PresSpeech63.txt,https://www.tccb.gov.tr/konusmalar/353/134033/iii-turkiye-afrika-ortaklik-zirvesi-acilis-oturumu-nda-yaptiklari-konusma
16.12.2021,Afrikalı Gençlerle Söyleşi Programı’nda Yaptıkları Konuşma ,Their Speech at the Conversation Program with African Youth,PresSpeech64.txt,https://www.tccb.gov.tr/konusmalar/353/133980/afrikali-genclerle-soylesi-programi-nda-yaptiklari-konusma-
16.12.2021,Basın Toplantısında Yaptıkları Konuşma ,Speech at the Press Conference,PresSpeech65.txt,https://www.tccb.gov.tr/konusmalar/353/133963/basin-toplantisinda-yaptiklari-konusma-
10.12.2021,İslam İşbirliği Teşkilatı Parlamento Birliği 16. Konferansı Açılış Oturumu’nda Yaptıkları Konuşma,Speech at the Opening Session of the 16th Conference of the Parliamentary Union of the Organization of Islamic Cooperation,PresSpeech66.txt,https://www.tccb.gov.tr/konusmalar/353/133866/islam-isbirligi-teskilati-parlamento-birligi-16-konferansi-acilis-oturumu-nda-yaptiklari-konusma
08.12.2021, 40. İl Müftüleri İstişare Toplantısı’nda Yaptıkları Konuşma,Speech Delivered at the 40th Provincial Mufti Consultation Meeting,PresSpeech67.txt,https://www.tccb.gov.tr/konusmalar/353/133835/-40-il-muftuleri-istisare-toplantisi-nda-yaptiklari-konusma
08.12.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech68.txt,https://www.tccb.gov.tr/konusmalar/353/133856/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
07.12.2021,Katar-Türk Birleşik Müşterek Kuvvet Komutanlığı’nda Yaptıkları Konuşma,Speech at the Qatar-Turkish Joint Joint Force Command,PresSpeech69.txt,https://www.tccb.gov.tr/konusmalar/353/133812/katar-turk-birlesik-musterek-kuvvet-komutanligi-nda-yaptiklari-konusma
05.12.2021,Siirt Demokrasi Konuşmaları Programı’nda Yaptıkları Konuşma,Speeches Delivered at the Siirt Democracy Speeches Program,PresSpeech70.txt,https://www.tccb.gov.tr/konusmalar/353/133795/siirt-demokrasi-konusmalari-programi-nda-yaptiklari-konusma
05.12.2021,Engelli Öğretmen Ataması ve Engelsiz Vizyon 2030 Tanıtım Toplantısı’nda Yaptıkları Konuşma,Their Speech at the Appointment of Disabled Teachers and the Unhindered Vision 2030 Promotion Meeting,PresSpeech71.txt,https://www.tccb.gov.tr/konusmalar/353/133773/engelli-ogretmen-atamasi-ve-engelsiz-vizyon-2030-tanitim-toplantisi-nda-yaptiklari-konusma
04.12.2021,"Lineer Metal Çinko Üretim Tesisi Açılışı ve Kurşun, Gümüş ve Sülfürik Asit Fabrikalarının Temel Atma Töreni’nde Yaptıkları Konuşma","Speech at the Opening of Linear Metal Zinc Production Facility and Groundbreaking Ceremony of Lead, Silver and Sulfuric Acid Factories",PresSpeech72.txt,https://www.tccb.gov.tr/konusmalar/353/133784/lineer-metal-cinko-uretim-tesisi-acilisi-ve-kursun-gumus-ve-sulfurik-asit-fabrikalarinin-temel-atma-toreni-nde-yaptiklari-konusma
04.12.2021,Siirt’e Yapımı Tamamlanan Projelerin Açılış Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Opening Ceremony of Completed Projects in Siirt,PresSpeech73.txt,https://www.tccb.gov.tr/konusmalar/353/133782/siirt-e-yapimi-tamamlanan-projelerin-acilis-toreni-nde-yaptiklari-konusma
04.12.2021,Siirt Kanat Önderleri Bulaşması’nda Yaptıkları Konuşma,Speech at the Siirt Opinion Leaders Meeting,PresSpeech74.txt,https://www.tccb.gov.tr/konusmalar/353/133790/siirt-kanat-onderleri-bulasmasi-nda-yaptiklari-konusma
03.12.2021,Gaziantep'in Kurtuluşunun 100. Yılında 100 Hayırsever Eğitime Destek Kampanyası Ödül Töreni’nde Yaptıkları Konuşma,Speech at the Award Ceremony of the 100 Charitable Education Support Campaign on the 100th Anniversary of Gaziantep's Liberation,PresSpeech75.txt,https://www.tccb.gov.tr/konusmalar/353/133781/gaziantep-in-kurtulusunun-100-yilinda-100-hayirsever-egitime-destek-kampanyasi-odul-toreni-nde-yaptiklari-konusma
01.12.2021,20. Milli Eğitim Şûrası’nda Yaptıkları Konuşma,Speech at the 20th National Education Council,PresSpeech76.txt,https://www.tccb.gov.tr/konusmalar/353/133736/20-milli-egitim-s-rasi-nda-yaptiklari-konusma
28.11.2021,Engelleri Birlikte Aştık İzmir Buluşması’nda Yaptıkları Konuşma,Speech Delivered at the Izmir Meeting We Overcame the Obstacles Together,PresSpeech77.txt,https://www.tccb.gov.tr/konusmalar/353/133684/engelleri-birlikte-astik-izmir-bulusmasi-nda-yaptiklari-konusma
28.11.2021,Ekonomik İşbirliği Teşkilatı 15. Liderler Zirvesi’nde Yaptıkları Konuşma,Speech at the 15th Leaders' Summit of the Organization of Economic Cooperation,PresSpeech78.txt,https://www.tccb.gov.tr/konusmalar/353/133681/ekonomik-isbirligi-teskilati-15-liderler-zirvesi-nde-yaptiklari-konusma
26.11.2021,İzmir Deprem Konutları Teslim Töreni’nde Yaptıkları Konuşma,Speech Delivered at the Izmir Earthquake Housing Delivery Ceremony,PresSpeech79.txt,https://www.tccb.gov.tr/konusmalar/353/133642/izmir-deprem-konutlari-teslim-toreni-nde-yaptiklari-konusma
26.11.2021,Alsancak Stadı ile Yapımı Tamamlanan 96 Tesisin Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Collective Opening Ceremony of Alsancak Stadium and 96 Facilities whose Construction was Completed,PresSpeech80.txt,https://www.tccb.gov.tr/konusmalar/353/133678/alsancak-stadi-ile-yapimi-tamamlanan-96-tesisin-toplu-acilis-toreni-nde-yaptiklari-konusma
24.11.2021,İSEDAK 37. Bakanlar Toplantısında Yaptıkları Konuşma,Speech at the 37th Ministerial Meeting of the COMCEC,PresSpeech81.txt,https://www.tccb.gov.tr/konusmalar/353/133609/isedak-37-bakanlar-toplantisinda-yaptiklari-konusma
23.11.2021,24 Kasım Öğretmenler Günü Münasebetiyle Yaptıkları Konuşma,"Speech on the occasion of November 24, Teachers' Day",PresSpeech82.txt,https://www.tccb.gov.tr/konusmalar/353/133596/24-kasim-ogretmenler-gunu-munasebetiyle-yaptiklari-konusma
22.11.2021,Kabine Toplantısı’nın Ardından Yaptıkları Konuşma,Speech After the Cabinet Meeting,PresSpeech83.txt,https://www.tccb.gov.tr/konusmalar/353/133576/kabine-toplantisi-nin-ardindan-yaptiklari-konusma
14.11.2021,Memur-Sen Büyük Türkiye Buluşması’nda Yaptıkları Konuşma,The Speech of Memur-Sen at the Great Turkey Meeting,PresSpeech84.txt,https://www.tccb.gov.tr/konusmalar/353/133507/memur-sen-buyuk-turkiye-bulusmasi-nda-yaptiklari-konusma
13.11.2021,Çanakkale'de Gençlerle Buluşma Programı’nda Yaptıkları Konuşma,Speech at the Young People Meeting Program in Çanakkale,PresSpeech85.txt,https://www.tccb.gov.tr/konusmalar/353/133511/canakkale-de-genclerle-bulusma-programi-nda-yaptiklari-konusma
13.11.2021,Çanakkale Toplu Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Çanakkale Collective Opening Ceremony,PresSpeech86.txt,https://www.tccb.gov.tr/konusmalar/353/133505/canakkale-toplu-acilis-toreni-nde-yaptiklari-konusma
13.11.2021,1915 Çanakkale Köprüsü Son Tabliye Montaj Töreni’nde Yaptıkları Konuşma,Speech at the 1915 Çanakkale Bridge Final Deck Assembly Ceremony,PresSpeech87.txt,https://www.tccb.gov.tr/konusmalar/353/133502/1915-canakkale-koprusu-son-tabliye-montaj-toreni-nde-yaptiklari-konusma
12.11.2021,Türk Konseyi 8. Zirvesi’nde Yaptıkları Konuşma,Speech at the 8th Summit of the Turkic Council,PresSpeech88.txt,https://www.tccb.gov.tr/konusmalar/353/133506/turk-konseyi-8-zirvesi-nde-yaptiklari-konusma
11.11.2021,Milli Ağaçlandırma Günü Fidan Dikim Töreni’nde Yaptıkları Konuşma,Speech at the National Tree Planting Day Sapling Planting Ceremony,PresSpeech89.txt,https://www.tccb.gov.tr/konusmalar/353/133453/milli-agaclandirma-gunu-fidan-dikim-toreni-nde-yaptiklari-konusma
10.11.2021,Gazi Mustafa Kemal Atatürk’ün Ebediyete İrtihalinin 83. Yıldönümü Münasebetiyle Düzenlenen Anma Töreni’nde Yaptıkları Konuşma,Ghazi Mustafa Kemal Atatürk's Speech at the Commemoration Ceremony Organized to commemorate the 83rd Anniversary of His Death,PresSpeech90.txt,https://www.tccb.gov.tr/konusmalar/353/133430/gazi-mustafa-kemal-ataturk-un-ebediyete-irtihalinin-83-yildonumu-munasebetiyle-duzenlenen-anma-toreni-nde-yaptiklari-konusma
09.11.2021,EPDK Hizmet Binası ve Yapımı Tamamlanan Enerji Santrallerinin Açılış Töreni’nde Yaptıkları Konuşma,Speech at the Opening Ceremony of EMRA Service Building and Completed Power Plants,PresSpeech91.txt,https://www.tccb.gov.tr/konusmalar/353/132404/epdk-hizmet-binasi-ve-yapimi-tamamlanan-enerji-santrallerinin-acilis-toreni-nde-yaptiklari-konusma
